Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MK280221-001","","RNA Gene","","5","GC01P172750","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280221-001"
"MK280238","","RNA Gene","","5","GC17M048050","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280238"
"MK280269-044","","RNA Gene","","5","GC06M102006","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280269-044"
"MK280269-050","","RNA Gene","","5","GC09M133897","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280269-050"
"MK280269-053","","RNA Gene","","5","GC0XP059897","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280269-053"
"MN297389","","RNA Gene","","5","GC16P073069","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN297389"
"MN297907-006","","RNA Gene","","5","GC06P163326","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN297907-006"
"MN297907-015","","RNA Gene","","5","GC09M032274","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN297907-015"
"MN298114-173","","RNA Gene","","5","GC06M102014","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN298114-173"
"MN298114-194","","RNA Gene","","5","GC07P016724","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN298114-194"
"MN298247","","RNA Gene","","5","GC06M006588","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN298247"
"MN298576","","RNA Gene","","5","GC09P060074","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN298576"
"MN298678-054","","RNA Gene","","5","GC05P102803","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN298678-054"
"MN308775","","RNA Gene","","5","GC01P119997","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN308775"
"MN308892","","RNA Gene","","5","GC01M002229","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN308892"
"MN308938","","RNA Gene","","5","GC01M039388","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN308938"
"MN308972","","RNA Gene","","5","GC01M117606","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN308972"
"MN309174-241","","RNA Gene","","5","GC03M078951","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN309174-241"
"MN309202","","RNA Gene","","5","GC10M102744","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN309202"
"MN309279","","RNA Gene","","5","GC11P072710","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN309279"
"MN309280","","RNA Gene","","5","GC11P072726","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN309280"
"MN309345","","RNA Gene","","5","GC11M034438","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN309345"
"MN309541","","RNA Gene","","5","GC12M033764","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MN309541"
"NDUFB5P1","NADH:Ubiquinone Oxidoreductase Subunit B5 Pseudogene 1","Pseudogene","","5","GC04M180574","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB5P1"
"NDUFB9P2","NADH:Ubiquinone Oxidoreductase Subunit B9 Pseudogene 2","Pseudogene","","5","GC07M131754","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB9P2"
"NONHSAG004089.2","","RNA Gene","","5","GC01P206453","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG004089.2"
"NONHSAG007426.2","","RNA Gene","","5","GC11P002395","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG007426.2"
"NONHSAG007437.2","","RNA Gene","","5","GC11P002883","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG007437.2"
"NONHSAG008038.2","","RNA Gene","","5","GC11P034642","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG008038.2"
"NONHSAG010240.2","","RNA Gene","","5","GC12P067482","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG010240.2"
"NONHSAG015110.2","","RNA Gene","","5","GC14P058365","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG015110.2"
"NONHSAG015461.2","","RNA Gene","","5","GC14P074494","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG015461.2"
"NONHSAG015576.2","","RNA Gene","","5","GC14P079281","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG015576.2"
"NONHSAG016014.2","","RNA Gene","","5","GC14P119101","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG016014.2"
"NONHSAG016591.2","","RNA Gene","","5","GC15P175073","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG016591.2"
"NONHSAG020350.2-001","","RNA Gene","","5","GC16P089560","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG020350.2-001"
"NONHSAG020350.2-002","","RNA Gene","","5","GC16P089561","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG020350.2-002"
"NONHSAG021930.2","","RNA Gene","","5","GC17P044352","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG021930.2"
"NONHSAG022352.2","","RNA Gene","","5","GC17P059332","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG022352.2"
"NONHSAG025179.2","","RNA Gene","","5","GC19P140671","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG025179.2"
"NONHSAG027986.2","","RNA Gene","","5","GC02P065083","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG027986.2"
"NONHSAG034457.2","","RNA Gene","","5","GC03P012288","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG034457.2"
"NONHSAG035318.2","","RNA Gene","","5","GC03P063912","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG035318.2"
"NONHSAG036379.2","","RNA Gene","","5","GC03P150360","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG036379.2"
"NONHSAG036414.2","","RNA Gene","","5","GC03P152445","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG036414.2"
"NONHSAG041583.2","","RNA Gene","","5","GC05P134525","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG041583.2"
"NONHSAG043568.2","","RNA Gene","","5","GC06P171189","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG043568.2"
"NONHSAG043626.2","","RNA Gene","","5","GC06P171192","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG043626.2"
"NONHSAG045678.2-002","","RNA Gene","","5","GC17M037673","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG045678.2-002"
"NONHSAG045982.2","","RNA Gene","","5","GC06M032630","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG045982.2"
"NONHSAG046097.2","","RNA Gene","","5","GC06P171262","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG046097.2"
"NONHSAG047030.2","","RNA Gene","","5","GC07P018495","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG047030.2"
"NONHSAG047965.2","","RNA Gene","","5","GC07P090610","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG047965.2"
"NONHSAG049285.2","","RNA Gene","","5","GC07P157005","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG049285.2"
"NONHSAG050367.2","","RNA Gene","","5","GC08P063186","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG050367.2"
"NONHSAG050962.2","","RNA Gene","","5","GC08P102826","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG050962.2"
"NONHSAG052915.2","","RNA Gene","","5","GC09P103711","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONHSAG052915.2"
"OA985550","","RNA Gene","","5","GC01M165582","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OA985550"
"OP794540","","RNA Gene","","5","GC15M157000","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OP794540"
"OP794576","","RNA Gene","","5","GC03P063898","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OP794576"
"OP794616","","RNA Gene","","5","GC09M124400","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OP794616"
"RAD54L2P1","RAD54L2 Pseudogene 1","Pseudogene","","5","GC19P141493","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD54L2P1"
"RF00001-179","","RNA Gene","","5","GC02M164923","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00001-179"
"RF00017-117","","RNA Gene","","5","GC01M026540","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-117"
"RF00017-130","","RNA Gene","","5","GC01M032594","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-130"
"RF00017-1682","","RNA Gene","","5","GC14P119155","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-1682"
"RF00017-1923","","RNA Gene","","5","GC15M158904","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-1923"
"RF00017-2045","","RNA Gene","","5","GC16M046303","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-2045"
"RF00017-2199","","RNA Gene","","5","GC16P106850","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-2199"
"RF00017-2598","","RNA Gene","","5","GC17P134813","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-2598"
"RF00017-2711","","RNA Gene","","5","GC18P063180","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-2711"
"RF00017-2841","","RNA Gene","","5","GC19P141535","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-2841"
"RF00017-3321","","RNA Gene","","5","GC02P151059","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-3321"
"RF00017-3868","","RNA Gene","","5","GC22P086006","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-3868"
"RF00017-396","","RNA Gene","","5","GC01P172429","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-396"
"RF00017-4199","","RNA Gene","","5","GC03M171095","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-4199"
"RF00017-4776","","RNA Gene","","5","GC05M079817","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-4776"
"RF00017-4948","","RNA Gene","","5","GC05P134774","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-4948"
"RF00017-5052","","RNA Gene","","5","GC05P155687","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5052"
"RF00017-5054","","RNA Gene","","5","GC05P155695","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5054"
"RF00017-5200","","RNA Gene","","5","GC05M182842","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5200"
"RF00017-5229","","RNA Gene","","5","GC05M182929","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5229"
"RF00017-5450","","RNA Gene","","5","GC06M102826","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5450"
"RF00017-5455","","RNA Gene","","5","GC06M102829","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5455"
"RF00017-5465","","RNA Gene","","5","GC06M102834","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5465"
"RF00017-5469","","RNA Gene","","5","GC06M102837","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5469"
"RF00017-5483","","RNA Gene","","5","GC06P172580","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5483"
"RF00017-5487","","RNA Gene","","5","GC06M102844","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5487"
"RF00017-5495","","RNA Gene","","5","GC06P172587","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5495"
"RF00017-5585","","RNA Gene","","5","GC06P172642","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5585"
"RF00017-5586","","RNA Gene","","5","GC06P172643","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5586"
"RF00017-5758","","RNA Gene","","5","GC06M107014","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5758"
"RF00017-5761","","RNA Gene","","5","GC06M107056","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5761"
"RF00017-5764","","RNA Gene","","5","GC06P157414","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5764"
"RF00017-5864","","RNA Gene","","5","GC06P163301","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-5864"
"RF00017-6415","","RNA Gene","","5","GC07M079116","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6415"
"RF00017-6561","","RNA Gene","","5","GC07M106335","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6561"
"RF00017-6596","","RNA Gene","","5","GC07M106352","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6596"
"RF00017-6603","","RNA Gene","","5","GC07M106358","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6603"
"RF00017-6663","","RNA Gene","","5","GC07P163012","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6663"
"RF00017-6781","","RNA Gene","","5","GC07P161499","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6781"
"RF00017-6878","","RNA Gene","","5","GC07P161931","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6878"
"RF00017-6923","","RNA Gene","","5","GC08P010461","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6923"
"RF00017-6983","","RNA Gene","","5","GC08M025900","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-6983"
"RF00017-7081","","RNA Gene","","5","GC08P042467","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7081"
"RF00017-7280","","RNA Gene","","5","GC08P095450","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7280"
"RF00017-7335","","RNA Gene","","5","GC08P102650","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7335"
"RF00017-7336","","RNA Gene","","5","GC08M102571","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7336"
"RF00017-7572","","RNA Gene","","5","GC09P022092","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7572"
"RF00017-7573","","RNA Gene","","5","GC09M022249","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7573"
"RF00017-7605","","RNA Gene","","5","GC09M035555","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7605"
"RF00017-7627","","RNA Gene","","5","GC09P061503","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7627"
"RF00017-7628","","RNA Gene","","5","GC09P061504","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7628"
"RF00017-7663","","RNA Gene","","5","GC09M044066","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7663"
"RF00017-7825","","RNA Gene","","5","GC09P105144","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-7825"
"RF00017-8149","","RNA Gene","","5","GC09P149165","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-8149"
"RF00017-8574","","RNA Gene","","5","GC0XP059966","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-8574"
"RF00017-8575","","RNA Gene","","5","GC0XP059967","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-8575"
"RF00019-050","","RNA Gene","","5","GC15P175035","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00019-050"
"RF00026-165","","RNA Gene","","5","GC10P116582","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00026-165"
"RF00026-523","","RNA Gene","","5","GC02P044247","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00026-523"
"RF00026-648","","RNA Gene","","5","GC21M042443","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00026-648"
"RF00066-034","","RNA Gene","","5","GC11M136176","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00066-034"
"RF00483","","RNA Gene","","5","GC11M013307","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00483"
"RF00547","","RNA Gene","","5","GC09P084841","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00547"
"RF00994-1086","","RNA Gene","","5","GC08M115643","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00994-1086"
"RF01045-022","","RNA Gene","","5","GC10M086303","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF01045-022"
"RLIG1P3","RLIG1 Pseudogene 3","Pseudogene","","5","GC08P088503","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RLIG1P3"
"RNU6-243P","RNA, U6 Small Nuclear 243, Pseudogene","Pseudogene","","5","GC03M035258","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU6-243P"
"RNU6-408P","RNA, U6 Small Nuclear 408, Pseudogene","Pseudogene","","5","GC18P029048","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU6-408P"
"RNU7-157P","RNA, U7 Small Nuclear 157 Pseudogene","Pseudogene","","5","GC07P057227","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU7-157P"
"RNU7-190P","RNA, U7 Small Nuclear 190 Pseudogene","Pseudogene","","5","GC02M117139","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU7-190P"
"RNU7-93P","RNA, U7 Small Nuclear 93 Pseudogene","Pseudogene","","5","GC14P036405","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU7-93P"
"RNY4P30","RNY4 Pseudogene 30","Pseudogene","","5","GC13M049889","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNY4P30"
"RPL12P46","Ribosomal Protein L12 Pseudogene 46","Pseudogene","","5","GC11P115580","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL12P46"
"SLIRPP1","SLIRP. Pseudogene 1","Pseudogene","","5","GC0XP147803","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLIRPP1"
"SMUG1-AS1","SMUG1 Antisense RNA 1","RNA Gene","","5","GC12P065270","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMUG1-AS1"
"SNODB1058","","RNA Gene","","5","GC18P032525","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNODB1058"
"SNODB807","","RNA Gene","","5","GC18M063195","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNODB807"
"TFDP1P3","TFDP1 Pseudogene 3","Pseudogene","","5","GC15M155724","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFDP1P3"
"USP21P2","USP21 Pseudogene 2","Pseudogene","","5","GC02M076265","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP21P2"
"YAP1P3","YAP1 Pseudogene 3","Pseudogene","","5","GC06M126627","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YAP1P3"
"hsa-miR-5095-332","","RNA Gene","","5","GC22M081884","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=hsa-miR-5095-332"
"lnc-ADAM30-1","","RNA Gene","","5","GC01M119848","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-ADAM30-1"
"lnc-ADAMTS9-6","","RNA Gene","","5","GC03M064851","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-ADAMTS9-6"
"lnc-ADAT2-2","","RNA Gene","","5","GC06M142779","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-ADAT2-2"
"lnc-ADRB1-3","","RNA Gene","","5","GC10P114045","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-ADRB1-3"
"lnc-AHR-73","","RNA Gene","","5","GC07P018502","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-AHR-73"
"lnc-AHR-8","","RNA Gene","","5","GC07P018106","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-AHR-8"
"lnc-AMN-2","","RNA Gene","","5","GC14P118303","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-AMN-2"
"lnc-ANKRD11-9","","RNA Gene","","5","GC16M089560","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-ANKRD11-9"
"lnc-ARL4D-1","","RNA Gene","","5","GC17P135524","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-ARL4D-1"
"lnc-ATG16L2-1","","RNA Gene","","5","GC11P072755","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-ATG16L2-1"
"lnc-ATP6V0A1-5","","RNA Gene","","5","GC17P042388","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-ATP6V0A1-5"
"lnc-B9D2-2","","RNA Gene","","5","GC19M100997","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-B9D2-2"
"lnc-BAIAP2L2-3","","RNA Gene","","5","GC22M082194","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-BAIAP2L2-3"
"lnc-BAIAP2L2-4","","RNA Gene","","5","GC22M082195","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-BAIAP2L2-4"
"lnc-BANP-13","","RNA Gene","","5","GC16P087822","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-BANP-13"
"lnc-BRAP-1","","RNA Gene","","5","GC12M111520","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-BRAP-1"
"lnc-BRD3OS-1","","RNA Gene","","5","GC09P146963","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-BRD3OS-1"
"lnc-BTNL8-7","","RNA Gene","","5","GC05P188802","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-BTNL8-7"
"lnc-BYSL-3","","RNA Gene","","5","GC06P164809","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-BYSL-3"
"lnc-C10orf120-1","","RNA Gene","","5","GC10M122371","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-C10orf120-1"
"lnc-C1D-7","","RNA Gene","","5","GC02M067649","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-C1D-7"
"lnc-C1QTNF1-9","","RNA Gene","","5","GC17P134743","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-C1QTNF1-9"
"lnc-CAVIN1-1","","RNA Gene","","5","GC17M042386","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CAVIN1-1"
"lnc-CCDC9B-1","","RNA Gene","","5","GC15M042017","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CCDC9B-1"
"lnc-CCDC9B-3","","RNA Gene","","5","GC15M042018","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CCDC9B-3"
"lnc-CCHCR1-2","","RNA Gene","","5","GC06M031165","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CCHCR1-2"
"lnc-CCKAR-6","","RNA Gene","","5","GC04M026289","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CCKAR-6"
"lnc-CCNH-6","","RNA Gene","","5","GC05M087302","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CCNH-6"
"lnc-CCNQ-1","","RNA Gene","","5","GC0XM153624","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CCNQ-1"
"lnc-CDK2AP1-1","","RNA Gene","","5","GC12M123244","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CDK2AP1-1"
"lnc-CEBPA-4","","RNA Gene","","5","GC19M100858","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CEBPA-4"
"lnc-CFAP43-6","","RNA Gene","","5","GC10M104259","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CFAP43-6"
"lnc-CIR1-1","","RNA Gene","","5","GC02M174332","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CIR1-1"
"lnc-CITED2-7","","RNA Gene","","5","GC06M139897","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CITED2-7"
"lnc-CLN3-1","","RNA Gene","","5","GC16M028492","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CLN3-1"
"lnc-CNKSR3-3","","RNA Gene","","5","GC06M154222","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CNKSR3-3"
"lnc-COBLL1-1","","RNA Gene","","5","GC02M164655","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-COBLL1-1"
"lnc-COL4A3BP-3","","RNA Gene","","5","GC05M075694","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-COL4A3BP-3"
"lnc-COMMD6-9","","RNA Gene","","5","GC13M075312","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-COMMD6-9"
"lnc-CYBA-3","","RNA Gene","","5","GC16M088490","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=lnc-CYBA-3"
